,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
37,thunder bay,267.46,86.0,1.0,1.03,48.4001,-89.3168
38,hermanus,289.82,92.0,99.0,4.8,-34.4187,19.2345
39,mataura,286.48,80.0,45.0,1.34,-46.1927,168.8643
40,novita,296.12,93.0,98.0,0.48,4.9551,-76.6053
41,vila franca do campo,287.15,82.0,75.0,2.57,37.7167,-25.4333
42,georgetown,305.34,48.0,20.0,4.12,5.4112,100.3354
43,victoria point,299.83,73.0,0.0,1.79,-27.5833,153.3
44,bandarbeyla,300.64,60.0,0.0,4.62,9.4942,50.8122
45,along,306.29,24.0,31.0,0.89,28.1667,94.7667
46,sao filipe,294.59,74.0,0.0,2.82,14.8961,-24.4956
47,taunsa,304.94,22.0,0.0,2.15,30.7048,70.6505
48,bengkulu,301.87,70.0,89.0,3.52,-3.8004,102.2655
49,kano,298.15,73.0,86.0,3.6,12.0001,8.5167
50,bluff,286.48,80.0,59.0,1.34,-46.6,168.3333
52,kruisfontein,294.26,73.0,15.0,1.79,-34.0033,24.7314
54,te anau,285.71,83.0,0.0,2.07,-45.4167,167.7167
55,atuona,300.06,79.0,2.0,5.91,-9.8,-139.0333
56,chapais,254.15,78.0,1.0,2.06,49.7834,-74.8492
57,tuatapere,286.48,80.0,52.0,1.79,-46.1333,167.6833
58,olafsvik,277.27,88.0,100.0,1.08,64.8945,-23.7142
59,lata,281.42,60.0,5.0,2.24,40.1629,-8.3327
60,deputatskiy,245.68,95.0,100.0,2.3,69.3,139.9
61,victoria,297.17,58.0,40.0,4.12,22.2855,114.1577
62,tiksi,254.23,98.0,100.0,3.67,71.6872,128.8694
63,tasiilaq,272.15,80.0,75.0,4.12,65.6145,-37.6368
64,mercedes,285.14,82.0,58.0,2.22,-34.6515,-59.4307
65,la asuncion,298.15,88.0,100.0,3.6,11.0333,-63.8628
66,leno,277.62,100.0,0.0,2.43,45.3725,10.2166
67,kieta,301.37,76.0,100.0,1.32,-6.2167,155.6333
68,marovoay,300.15,89.0,20.0,2.06,-16.1,46.6333
69,busselton,306.66,24.0,100.0,1.34,-33.65,115.3333
70,oshikango,292.15,100.0,90.0,3.42,-17.4,15.8833
71,kamenka,272.04,85.0,100.0,3.44,51.3223,42.7678
72,puerto ayora,297.59,96.0,100.0,2.1,-0.7393,-90.3518
73,fairbanks,258.21,78.0,75.0,1.54,64.8378,-147.7164
74,yumen,277.9,17.0,0.0,9.46,40.2833,97.2
75,barrow,254.15,71.0,75.0,3.6,71.2906,-156.7887
76,hasaki,287.4,58.0,40.0,5.66,35.7333,140.8333
77,flin flon,270.93,91.0,0.0,2.62,54.7682,-101.865
78,hofn,280.07,92.0,13.0,5.0,64.2539,-15.2082
79,perth,310.15,9.0,0.0,6.17,-31.9333,115.8333
80,nyurba,268.13,88.0,100.0,5.29,63.2842,118.3319
81,tabuk,301.01,82.0,100.0,3.87,17.4189,121.4443
83,provideniya,253.15,65.0,0.0,3.0,64.3833,-173.3
84,saint anthony,273.7,69.0,1.0,1.92,45.0205,-93.218
85,kosh-agach,261.74,76.0,6.0,1.5,50.0,88.6667
86,rio verde de mato grosso,294.72,96.0,100.0,2.19,-18.9181,-54.8442
87,katangli,268.72,70.0,100.0,5.86,51.7102,143.2326
88,chuy,286.59,80.0,8.0,2.35,-33.6971,-53.4616
89,muros,282.04,71.0,98.0,5.36,42.7762,-9.0603
90,ponta do sol,289.21,67.0,20.0,3.09,32.6667,-17.1
91,maceio,296.15,94.0,40.0,1.03,-9.6658,-35.7353
93,thompson,273.15,59.0,1.0,1.54,55.7435,-97.8558
94,beloha,305.43,43.0,0.0,3.08,-25.1667,45.05
95,khatanga,247.7,92.0,100.0,4.43,71.9667,102.5
96,soltsy,268.35,67.0,36.0,4.03,58.1239,30.3238
97,marabba,306.6,25.0,47.0,1.77,12.35,32.1833
98,cape town,290.99,68.0,40.0,9.26,-33.9258,18.4232
99,assare,292.96,99.0,100.0,0.95,-6.8744,-39.875
100,bredasdorp,289.15,82.0,75.0,2.57,-34.5322,20.0403
101,upernavik,252.14,93.0,58.0,2.1,72.7868,-56.1549
102,taoudenni,294.09,17.0,0.0,4.53,22.6783,-3.9836
103,kodiak,266.15,49.0,1.0,3.6,57.79,-152.4072
104,mangaluru,306.15,55.0,20.0,3.09,12.8667,74.8833
105,beisfjord,264.92,100.0,90.0,5.14,68.3751,17.5988
106,ahipara,290.51,70.0,30.0,3.99,-35.1667,173.1667
108,ocos,290.87,96.0,0.0,0.97,14.5094,-92.1933
110,coquimbo,287.15,77.0,75.0,1.03,-29.9533,-71.3436
111,burshtyn,273.15,69.0,75.0,1.0,49.2587,24.6278
113,saint-philippe,300.21,62.0,0.0,10.29,-21.3585,55.7679
114,charters towers,301.18,64.0,100.0,5.6,-20.1,146.2667
115,sozimskiy,270.66,88.0,96.0,1.42,59.7418,52.2482
117,nikolskoye,266.51,73.0,75.0,4.0,59.7035,30.7861
118,jamestown,271.3,46.0,1.0,7.53,42.097,-79.2353
119,panguipulli,278.15,100.0,0.0,1.03,-39.6333,-72.3333
120,mahebourg,300.15,78.0,40.0,6.69,-20.4081,57.7
121,sorland,275.15,100.0,75.0,13.38,67.667,12.6934
122,losinyy,270.15,68.0,40.0,4.0,57.1386,61.0666
123,itarema,297.04,91.0,58.0,2.81,-2.9248,-39.9167
124,alamosa,270.15,68.0,20.0,2.06,37.4695,-105.87
125,torbay,275.17,93.0,90.0,14.4,47.6666,-52.7314
126,avarua,298.15,88.0,90.0,1.54,-21.2078,-159.775
128,oftringen,271.48,100.0,0.0,0.95,47.3167,7.9167
129,klaksvik,280.15,100.0,75.0,7.72,62.2266,-6.589
130,severo-kurilsk,272.83,95.0,91.0,4.88,50.6789,156.125
131,carballo,283.01,71.0,75.0,0.51,43.213,-8.691
134,denpasar,304.15,70.0,20.0,6.69,-8.65,115.2167
135,san cristobal,291.52,91.0,9.0,1.02,7.7669,-72.225
136,airai,293.68,84.0,100.0,0.93,-8.9266,125.4092
137,prince rupert,279.07,87.0,90.0,3.09,54.3161,-130.3201
138,pevek,243.97,93.0,32.0,0.9,69.7008,170.3133
139,bucerias,291.08,94.0,1.0,1.6,20.75,-105.3333
140,akureyri,282.15,71.0,20.0,9.26,65.6835,-18.0878
141,sisimiut,263.87,85.0,100.0,8.47,66.9395,-53.6735
142,dikson,240.12,93.0,0.0,4.67,73.5069,80.5464
143,saldanha,291.15,76.0,0.0,5.14,-33.0117,17.9442
144,nkayi,296.91,92.0,100.0,0.7,-4.1841,13.2884
145,quatre cocos,301.14,78.0,40.0,6.69,-20.2078,57.7625
146,bathsheba,298.15,65.0,40.0,7.72,13.2167,-59.5167
147,toronto,271.13,27.0,2.0,6.1,43.7001,-79.4163
148,ngunguru,290.93,71.0,5.0,2.24,-35.6167,174.5
149,eydhafushi,301.75,66.0,100.0,3.96,5.1033,73.0708
150,kaitangata,287.59,62.0,75.0,2.55,-46.2817,169.8464
151,khandbari,302.86,16.0,93.0,2.01,27.3747,87.2039
152,narsaq,270.15,54.0,40.0,2.57,60.9167,-46.05
153,punganuru,305.67,17.0,69.0,6.63,13.3667,78.5833
154,lebu,284.34,89.0,0.0,1.67,-37.6167,-73.65
156,briancon,274.83,78.0,100.0,0.45,44.9,6.65
157,vardo,265.15,73.0,0.0,6.69,70.3705,31.1107
158,piacabucu,298.41,82.0,12.0,3.14,-10.4056,-36.4344
159,alekseyevskoye,270.15,86.0,75.0,3.0,55.3071,50.1135
160,san-pedro,296.96,89.0,100.0,0.23,4.7485,-6.6363
161,vaini,300.15,89.0,75.0,2.06,-21.2,-175.2
162,iqaluit,241.32,68.0,1.0,5.14,63.7506,-68.5145
163,natalio,288.42,95.0,61.0,0.63,-26.7167,-55.0833
164,russell,282.73,62.0,90.0,5.66,32.3502,-85.1999
165,sistranda,275.15,87.0,75.0,6.69,63.7256,8.834
166,taltal,290.82,88.0,93.0,0.5,-25.4,-70.4833
167,morondava,302.08,73.0,11.0,3.1,-20.2833,44.2833
168,humaita,295.33,98.0,100.0,1.39,-7.5061,-63.0208
169,san patricio,287.76,41.0,1.0,5.14,28.017,-97.5169
170,mirnyy,267.08,86.0,100.0,5.82,62.5353,113.9611
171,san quintin,286.3,87.0,0.0,4.44,30.4833,-115.95
172,mayo,280.76,93.0,90.0,6.69,38.8876,-76.5119
174,sabha,296.1,16.0,0.0,6.5,27.0377,14.4283
175,benguela,299.36,76.0,98.0,0.7,-12.5763,13.4055
176,meulaboh,303.19,65.0,18.0,2.96,4.1363,96.1285
177,keti bandar,302.3,50.0,0.0,5.35,24.1447,67.4497
178,lorengau,302.17,73.0,37.0,2.43,-2.0226,147.2712
179,mineros,295.15,83.0,75.0,2.57,-17.1167,-63.2333
180,chimbote,295.2,77.0,100.0,2.76,-9.0853,-78.5783
181,san vicente,288.43,95.0,36.0,1.8,-26.6167,-54.1333
182,kendari,302.26,75.0,98.0,1.69,-3.945,122.4989
183,hilo,290.79,83.0,90.0,2.06,19.7297,-155.09
184,miandrivazo,302.54,64.0,100.0,1.15,-19.5167,45.4667
185,kavieng,302.18,73.0,98.0,3.29,-2.5744,150.7967
186,seymchan,250.28,86.0,54.0,2.27,62.8833,152.4333
187,nanortalik,269.17,76.0,44.0,1.54,60.1432,-45.2371
188,kjollefjord,265.15,86.0,100.0,15.95,70.9457,27.3465
189,ust-kuyga,255.51,92.0,100.0,5.82,70.0167,135.6
191,christchurch,287.34,72.0,2.0,4.12,-43.5333,172.6333
192,arvika,267.15,93.0,51.0,3.09,59.6553,12.5852
193,pasni,298.84,66.0,0.0,1.9,25.2631,63.471
194,port elizabeth,294.26,73.0,30.0,1.79,-33.918,25.5701
195,jefferson city,278.9,53.0,75.0,2.57,38.5767,-92.1735
196,qaanaaq,249.48,82.0,100.0,2.54,77.484,-69.3632
197,zemio,300.39,64.0,93.0,1.07,5.0314,25.1361
198,kailua,292.57,73.0,90.0,7.72,21.4022,-157.7394
199,dhidhdhoo,301.32,66.0,31.0,2.58,6.8833,73.1
200,tumut,300.15,39.0,9.0,9.26,-35.3,148.2167
202,isangel,301.15,69.0,75.0,4.12,-19.55,169.2667
203,bambous virieux,301.05,78.0,40.0,6.69,-20.3428,57.7575
204,kantunilkin,298.15,88.0,75.0,1.03,21.0917,-87.45
205,vestmanna,280.15,100.0,75.0,7.2,62.1564,-7.1664
206,harper,298.03,84.0,99.0,1.4,4.375,-7.7169
207,snasa,271.15,64.0,0.0,5.66,64.2457,12.3778
208,burgeo,274.66,98.0,100.0,2.02,47.6167,-57.6152
209,sabang,301.77,67.0,0.0,3.99,5.8933,95.3214
210,prainha,295.48,97.0,100.0,1.47,-1.8,-53.48
211,dunedin,287.04,73.0,26.0,0.45,-45.8742,170.5036
212,sept-iles,258.38,51.0,20.0,7.2,50.2001,-66.3821
213,talnakh,248.28,93.0,100.0,2.15,69.4865,88.3972
214,mitu,294.84,91.0,100.0,0.54,1.1983,-70.1733
215,castro,290.5,94.0,93.0,3.17,-24.7911,-50.0119
216,bihar,273.15,74.0,0.0,3.6,47.15,21.9167
217,gloucester,280.33,87.0,100.0,3.58,51.8657,-2.2431
218,nangomba,301.76,73.0,7.0,0.62,-10.9,38.5
219,uribia,298.45,73.0,99.0,5.82,11.7139,-72.266
220,naze,298.15,69.0,75.0,5.66,28.3667,129.4833
221,oistins,298.15,65.0,40.0,7.72,13.0667,-59.5333
222,birin,297.81,20.0,2.0,3.45,26.8865,88.0718
224,zhicheng,281.79,80.0,100.0,3.13,30.2956,111.5047
225,salinopolis,298.08,86.0,92.0,2.24,-0.6136,-47.3561
226,hualmay,294.42,78.0,100.0,2.37,-11.0964,-77.6139
227,richards bay,299.66,71.0,0.0,1.51,-28.783,32.0377
228,carlsbad,283.27,93.0,1.0,2.57,33.1581,-117.3506
229,tabou,297.6,85.0,96.0,1.05,4.423,-7.3528
230,tolaga bay,287.29,74.0,82.0,4.24,-38.3667,178.3
232,padang,303.15,66.0,20.0,3.6,-0.9492,100.3543
233,leningradskiy,243.88,90.0,0.0,0.57,69.3833,178.4167
234,myatlevo,274.15,69.0,20.0,2.0,54.8969,35.6762
235,longyearbyen,273.15,80.0,75.0,7.2,78.2186,15.6401
236,komsomolskiy,287.15,41.0,100.0,1.03,40.4272,71.7189
237,porto novo,297.15,94.0,20.0,1.03,6.4965,2.6036
238,nang rong,311.15,67.0,40.0,2.06,14.6377,102.7914
239,svetlogorsk,272.89,75.0,10.0,2.24,52.6333,29.7333
240,skjold,274.45,84.0,55.0,5.88,55.7971,9.9397
241,clyde river,242.15,76.0,1.0,1.54,70.4692,-68.5914
242,yaan,298.62,79.0,100.0,4.34,7.3833,8.5667
243,laguna,284.8,94.0,90.0,1.25,38.421,-121.4238
244,buala,301.26,75.0,57.0,0.67,-8.145,159.5921
245,erie,271.44,51.0,100.0,0.89,42.7667,-78.6664
246,makakilo city,293.01,73.0,90.0,4.12,21.3469,-158.0858
247,zdvinsk,267.35,91.0,100.0,5.53,54.7021,78.661
248,yellowknife,264.15,86.0,1.0,2.57,62.456,-114.3525
249,eberswalde,274.26,79.0,65.0,3.77,52.8349,13.8195
250,chokurdakh,241.93,80.0,0.0,3.79,70.6333,147.9167
251,nishihara,297.62,69.0,75.0,3.6,26.1842,127.7558
252,merauke,301.73,74.0,100.0,1.66,-8.4667,140.3333
253,saskylakh,244.93,91.0,100.0,5.95,71.9167,114.0833
254,solnechnyy,270.51,69.0,100.0,1.51,50.7214,136.6319
255,myre,271.34,86.0,75.0,11.83,69.1036,15.9492
256,ambilobe,303.42,71.0,67.0,0.84,-13.2,49.05
257,buncrana,280.15,100.0,75.0,2.06,55.1333,-7.45
258,aklavik,248.15,77.0,100.0,2.57,68.2191,-135.0107
259,nouadhibou,289.83,73.0,0.0,10.21,20.931,-17.0347
260,belaya gora,249.01,88.0,0.0,2.43,68.5333,146.4167
261,norman wells,257.15,85.0,90.0,5.14,65.282,-126.8329
262,shemonaikha,268.48,76.0,0.0,2.48,50.6328,81.9056
263,dawlatabad,298.86,28.0,100.0,0.99,36.4141,64.9053
264,haines junction,267.15,53.0,100.0,2.57,60.7522,-137.5108
265,vanavara,268.15,86.0,100.0,5.12,60.34,102.2797
266,auki,300.88,78.0,100.0,0.55,-8.7676,160.7034
267,tazovskiy,251.61,95.0,95.0,3.82,67.4667,78.7
268,kangaatsiaq,261.32,75.0,100.0,4.25,68.3065,-53.4641
269,broken hill,300.15,41.0,40.0,9.26,-31.95,141.4333
270,hella,269.24,86.0,90.0,9.26,67.2,14.4333
271,tera,298.99,12.0,0.0,3.0,14.0078,0.7531
272,maputo,299.82,75.0,4.0,0.45,-25.9653,32.5892
273,bontang,302.02,76.0,99.0,1.94,0.1333,117.5
274,praia,294.15,64.0,0.0,4.12,14.9215,-23.5087
275,suntar,269.03,85.0,100.0,5.11,62.1444,117.6319
276,khomeyn,289.27,19.0,0.0,11.94,33.6423,50.0789
277,yulara,303.15,20.0,100.0,8.75,-25.2406,130.9889
278,mar del plata,284.31,100.0,0.0,1.54,-38.0023,-57.5575
279,jumla,291.18,19.0,72.0,2.98,29.2747,82.1838
280,dukat,247.09,99.0,100.0,2.04,62.55,155.55
281,wencheng,284.85,59.0,100.0,3.77,33.0559,113.7978
282,avera,284.66,67.0,90.0,6.69,33.194,-82.5271
283,gorshechnoye,271.18,88.0,87.0,3.18,51.5244,38.0365
284,kirakira,301.17,78.0,100.0,2.47,-10.4544,161.9205
285,tianpeng,290.93,1.0,100.0,5.3,30.9866,103.9393
287,ostrovnoy,260.76,84.0,15.0,2.18,68.0531,39.5131
288,biscarrosse,280.15,93.0,90.0,1.03,44.3945,-1.1672
289,axim,298.85,79.0,100.0,1.45,4.8699,-2.2405
290,lesnoy,269.98,91.0,100.0,3.37,57.6198,63.0784
292,lanigan,275.15,69.0,0.0,8.23,51.8501,-105.0344
293,itoman,297.45,73.0,40.0,2.57,26.1247,127.6694
294,pisco,293.15,83.0,0.0,3.09,-13.7,-76.2167
295,hit,291.95,31.0,25.0,2.72,33.6416,42.8251
296,xichang,302.59,14.0,9.0,3.73,27.8964,102.2634
298,bilibino,247.45,82.0,92.0,0.62,68.0546,166.4372
299,ribeira grande,288.3,83.0,100.0,7.82,38.5167,-28.7
300,palembang,305.15,66.0,75.0,1.54,-2.9167,104.7458
301,racale,279.97,87.0,20.0,3.6,39.9631,18.0938
303,asyut,287.15,58.0,0.0,3.09,27.181,31.1837
304,venado tuerto,285.1,94.0,100.0,1.34,-33.7456,-61.9688
305,yerbogachen,267.14,90.0,100.0,5.79,61.2767,108.0108
306,marsa matruh,287.15,67.0,0.0,4.12,31.3525,27.2453
307,faanui,301.15,66.0,3.0,2.27,-16.4833,-151.75
308,comodoro rivadavia,292.15,39.0,0.0,5.66,-45.8667,-67.5
309,kahului,292.49,64.0,20.0,5.66,20.8947,-156.47
310,la llanada,281.9,92.0,100.0,1.41,1.49,-77.5835
311,borodino,268.32,83.0,100.0,6.33,55.9106,94.8983
312,nizwa,307.01,11.0,0.0,1.98,22.9333,57.5333
313,la grande,274.71,97.0,91.0,3.58,45.3246,-118.0877
314,andros town,295.15,83.0,0.0,2.57,24.7,-77.7667
315,port macquarie,294.07,94.0,90.0,6.17,-31.4333,152.9167
316,marshall,279.55,93.0,90.0,4.12,34.3834,-86.3333
317,poyarkovo,274.31,53.0,81.0,2.12,49.6,128.6833
318,grand gaube,302.04,62.0,0.0,2.68,-20.0064,57.6608
319,dalhousie,292.74,19.0,100.0,3.26,32.5333,75.9833
320,dingle,304.45,61.0,21.0,4.4,10.9995,122.6711
321,santa maria,288.41,97.0,0.0,2.41,-29.6842,-53.8069
322,katsuura,288.56,67.0,40.0,6.69,35.1333,140.3
324,baiao,295.12,99.0,100.0,0.78,-2.7906,-49.6717
325,alofi,300.15,83.0,100.0,2.57,-19.0595,-169.9187
326,luwuk,302.91,77.0,99.0,0.72,-0.9516,122.7875
327,baykit,269.37,84.0,100.0,4.53,61.67,96.37
328,chincha alta,293.15,83.0,0.0,3.09,-13.4099,-76.1323
329,kytmanovo,268.4,89.0,89.0,2.69,53.4593,85.4479
330,port hardy,278.31,93.0,90.0,1.03,50.6996,-127.4199
332,banjar,304.15,70.0,20.0,6.69,-8.19,114.9675
333,byron bay,299.15,73.0,91.0,5.66,-28.65,153.6167
334,lavumisa,295.15,100.0,7.0,0.51,-27.31,31.892
335,ban nahin,310.93,43.0,30.0,2.23,18.2418,104.2122
336,gladstone,300.15,74.0,40.0,5.14,-23.85,151.25
338,bowen,300.15,69.0,90.0,3.6,-20.0167,148.2333
339,lavrentiya,247.3,98.0,51.0,1.0,65.5833,-171.0
340,elko,282.8,41.0,0.0,2.68,41.0002,-115.5012
341,sarrebourg,274.93,93.0,90.0,1.54,48.7333,7.05
342,cidreira,294.17,78.0,60.0,2.84,-30.1811,-50.2056
343,lompoc,284.78,76.0,90.0,2.67,34.6391,-120.4579
344,marzuq,301.41,10.0,0.0,2.59,14.4,46.4667
345,mizan teferi,296.75,69.0,18.0,0.16,6.9833,35.5833
347,lumphat,314.15,23.0,0.0,2.21,13.4878,106.9816
348,yuci,275.15,93.0,90.0,1.0,37.6803,112.7319
349,jardim,294.66,96.0,100.0,1.61,-21.4803,-56.1381
350,smithers,275.15,93.0,75.0,2.57,54.7804,-127.1743
351,husavik,282.15,71.0,20.0,9.26,66.0449,-17.3389
352,loikaw,309.88,16.0,59.0,2.75,19.6742,97.2094
353,aksarka,251.55,96.0,95.0,6.58,66.5606,67.7975
354,asau,273.71,65.0,100.0,1.23,46.4333,26.4
355,aras,278.15,87.0,90.0,6.17,42.5617,-2.356
356,petatlan,294.4,84.0,0.0,1.53,17.5167,-101.2667
358,zhangye,276.69,31.0,100.0,5.09,38.9342,100.4517
359,cherskiy,242.6,98.0,0.0,2.16,68.75,161.3
360,itea,280.8,67.0,73.0,1.34,38.4333,22.4167
362,ilulissat,263.15,62.0,20.0,7.72,69.2167,-51.1
363,geraldton,312.15,8.0,7.0,4.63,-28.7667,114.6
364,zhanaozen,280.85,63.0,0.0,8.53,43.3,52.8
365,inzhavino,269.04,93.0,100.0,3.03,52.3185,42.4937
366,bratsk,267.09,58.0,40.0,7.0,56.1325,101.6142
367,corowa,299.26,43.0,100.0,0.45,-36.0333,146.3833
368,wajima,284.15,54.0,20.0,2.06,37.4,136.9
369,obo,300.73,61.0,55.0,1.41,5.3998,26.4869
370,magadan,260.87,71.0,0.0,2.02,59.5667,150.8
371,swan hill,301.35,32.0,100.0,5.52,-35.3378,143.5544
372,klyuchi,270.6,78.0,0.0,6.11,52.2667,79.1667
373,inirida,296.18,90.0,100.0,0.83,3.8653,-67.9239
374,sao marcos,287.04,99.0,24.0,1.63,-28.9711,-51.0681
376,shu,287.4,35.0,0.0,3.34,43.5983,73.7614
377,deep river,267.15,38.0,1.0,4.63,46.1001,-77.4995
378,manokwari,299.99,79.0,39.0,0.81,-0.8667,134.0833
379,kualakapuas,306.15,58.0,20.0,4.63,-3.0091,114.3876
380,jatiroto,305.15,55.0,40.0,4.12,-7.8833,111.1167
381,chongwe,294.65,78.0,80.0,2.76,-15.3292,28.682
382,sawtell,295.15,78.0,90.0,5.66,-30.3833,153.1
383,zhigansk,265.98,90.0,100.0,4.7,66.7697,123.3711
384,ayagoz,270.39,71.0,0.0,6.31,47.9714,80.4392
385,yuncheng,278.18,87.0,100.0,4.13,35.0231,110.9928
386,mahajanga,300.15,89.0,20.0,2.06,-15.7167,46.3167
387,kiruna,263.15,73.0,0.0,7.2,67.8557,20.2251
388,chulman,266.41,81.0,100.0,0.52,56.8479,124.9104
389,beringovskiy,252.72,99.0,100.0,3.81,63.05,179.3167
390,gao,298.37,10.0,47.0,4.32,16.6362,1.637
391,morro bay,284.03,93.0,97.0,0.27,35.3658,-120.8499
392,kenai,262.07,57.0,1.0,3.09,60.5544,-151.2583
393,mount gambier,299.15,41.0,0.0,6.17,-37.8333,140.7667
394,coos bay,280.22,81.0,75.0,3.6,43.3665,-124.2179
395,karpathos,288.15,63.0,20.0,6.17,35.507,27.2132
396,cape coast,298.47,82.0,100.0,3.01,5.1053,-1.2466
397,dabhol,306.94,34.0,38.0,5.92,17.6,73.1667
399,nizhneudinsk,270.12,71.0,100.0,4.26,54.9076,99.0276
400,wajid,305.02,44.0,0.0,6.39,3.8093,43.2471
401,saint george,285.84,66.0,1.0,1.54,37.1041,-113.5841
402,kotelnikovo,279.09,86.0,100.0,4.2,47.6317,43.1461
403,diego de almagro,284.4,88.0,3.0,1.1,-26.3667,-70.05
404,lagoa,287.96,81.0,100.0,8.91,39.05,-27.9833
405,zunyi,295.83,69.0,36.0,3.02,27.6867,106.9072
406,abaete,292.29,90.0,27.0,0.9,-19.16,-45.4458
407,touros,296.15,94.0,40.0,1.03,-5.1989,-35.4608
408,portoferraio,278.27,75.0,20.0,4.12,42.8115,10.3146
409,pryazha,264.15,79.0,75.0,4.0,61.6926,33.6216
410,lixourion,284.15,93.0,40.0,4.12,38.2019,20.4314
411,caconda,291.14,83.0,91.0,0.78,-13.7333,15.0667
412,camacha,288.15,72.0,20.0,6.17,33.0833,-16.3333
413,awjilah,292.18,26.0,100.0,6.45,29.1081,21.2869
414,ayame,296.4,86.0,51.0,0.71,5.6083,-3.1563
415,blagoyevo,263.66,92.0,100.0,2.81,63.3667,47.9167
416,cabo san lucas,289.82,55.0,0.0,3.16,22.8909,-109.9124
417,campbell river,280.48,88.0,100.0,2.24,50.0163,-125.2446
418,kang,298.21,51.0,10.0,1.67,-23.6752,22.7876
420,la romana,297.15,78.0,20.0,5.14,18.4273,-68.9728
422,carutapera,295.96,93.0,100.0,0.86,-1.195,-46.02
423,conneaut,273.26,51.0,1.0,4.63,41.9476,-80.5542
424,saint-pierre,300.98,62.0,0.0,10.29,-21.3393,55.4781
425,tochio,284.26,60.0,0.0,0.89,37.4667,139.0
426,guasdualito,297.15,78.0,93.0,2.06,7.2424,-70.7324
427,okahandja,292.59,76.0,0.0,4.01,-21.9833,16.9167
428,valkeala,264.99,67.0,40.0,6.17,60.9401,26.7979
429,ayan,268.13,61.0,0.0,5.09,56.45,138.1667
430,pinawa,274.85,69.0,0.0,3.56,50.1489,-95.8811
431,mocuba,300.19,86.0,0.0,0.66,-16.8392,36.9856
432,tagusao,301.8,79.0,73.0,4.34,9.1924,117.8141
433,zyryanka,248.26,91.0,100.0,1.37,65.75,150.85
434,port augusta,300.99,42.0,96.0,7.2,-32.5,137.7667
435,kyzyl-suu,276.17,48.0,0.0,1.61,42.3414,78.0056
436,anamur,284.15,66.0,20.0,2.57,36.0751,32.8369
437,cam ranh,303.15,66.0,20.0,5.66,11.9214,109.1591
438,acarau,297.43,89.0,33.0,3.04,-2.8856,-40.12
439,vila velha,297.3,94.0,20.0,1.03,-20.3297,-40.2925
440,mandalgovi,267.57,80.0,100.0,5.75,45.7625,106.2708
442,mitsamiouli,304.15,66.0,20.0,2.06,-11.3847,43.2844
443,kodar,309.98,19.0,4.0,3.56,16.9833,79.9667
444,lunino,269.28,93.0,90.0,3.47,53.5918,45.2271
445,northam,281.3,94.0,71.0,2.68,51.0333,-4.2167
446,mitchell,273.15,86.0,1.0,2.06,43.7094,-98.0298
447,hobyo,302.81,63.0,3.0,6.36,5.3505,48.5268
448,ivybridge,281.62,93.0,1.0,7.07,50.3904,-3.9191
449,verkhoyansk,264.49,76.0,100.0,5.47,67.5447,133.385
